Gamma,Integral Pop Error,Population Error,Total Phase Error,Phase Error 101
0.0,0.0,0.02905147045960077,0.14378472136830378,0.00032552224582271805
0.0,0.0,0.00019063889234793852,0.033967679365507375,0.035724102297384985
0.0,0.0,6.332269785913613e-05,0.032448133730195616,0.03409992255844296
0.0,0.0,8.618571254559448e-06,0.007463514786783421,0.007527148786617088
0.0,0.0,1.1880461059377012e-09,0.007676527853111459,0.007792428843027666
0.0,0.0,1.3945774161028268e-06,0.0013752695192614794,0.0014177899295083618
0.0,0.0,3.2591677234794503e-07,1.7510828476008378e-05,1.82416377028094e-05
0.0,0.0,1.0908928094188752e-08,9.4775253678403e-07,9.744263220756721e-07
0.0,0.0,2.8254554251816444e-10,9.844391968272248e-11,7.445399852201717e-11
0.0,0.0,3.568881856708117e-10,2.2040488215635534e-06,2.2366402999685064e-06
0.0,0.0,9.329224837095751e-09,1.0019048479747994e-08,1.0297302344142167e-08
0.041,0.002369131856786333,0.03112971018143562,0.14387036100213912,0.0003248688235568675
0.041,0.010330572898675783,0.010572554417397684,0.03396003957483662,0.03586416721704777
0.041,0.010418255883332894,0.010560225791854783,0.03243613049745764,0.03433519161166432
0.041,0.009776417216716404,0.011072583382034207,0.03108408757124803,0.03224749553780626
0.041,0.015501871598197714,0.015872923346399337,0.010092290969059281,0.010990927208211598
0.041,0.016019229204271235,0.016335590885048545,0.010173092742676526,0.011089488984548979
0.041,0.016375154944722192,0.016657488492493155,0.010254900802766032,0.011162349812079198
0.041,0.01658131187039036,0.01690069951239115,0.010302342904584316,0.01123299681972778
0.041,0.01675204409659714,0.017072854910331392,0.010347838029053813,0.011280386666104425
0.041,0.016866215090139525,0.017205308807611397,0.010379248914093364,0.011321358979924812
0.041,0.02311554620935874,0.023376049614418637,0.00195063990588773,0.0021182077778200137
0.128,0.007345847984888576,0.03558526614502977,0.14399588172707878,0.0003232473559058313
0.128,0.02953697829767621,0.03238174792868054,0.033070577839956816,0.03536647078602262
0.128,0.029067268890337394,0.032176846368708545,0.031176286165871092,0.03236256340901633
0.128,0.029813435919373354,0.031371579545173,0.031071605433082627,0.032300554036833296
0.128,0.034855885203912695,0.03532806820888401,0.03277912694504792,0.03294321325291738
0.128,0.04776459409496947,0.04926366509945568,0.010138278901732356,0.011071398835359236
0.128,0.04870045324317651,0.0502353682789235,0.010204356910365697,0.011142707908858074
0.128,0.0492584128046093,0.05090997579656431,0.010241396831408123,0.011183506519674924
0.128,0.04967901248449591,0.05139958553568902,0.010263743017026594,0.011207338944712819
0.128,0.05000919943681137,0.05174654400310419,0.010294866548384962,0.011240489722719182
0.128,0.050259960087133515,0.05200508625057154,0.010324202560755391,0.011270127533800856
