Tau,Fidelity,Params
0.2,0.8320339800357274,"{'Delta0': np.float64(-45.45406228308443), 'delta0': np.float64(1475.4293844863648), 'Omega0': np.float64(129.5525553190087), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
0.6,0.9658452753815412,"{'Delta0': np.float64(-162.93035470111874), 'delta0': np.float64(1416.0751939413444), 'Omega0': np.float64(233.5813150073537), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
1.0,0.967489679655868,"{'Delta0': np.float64(-511.03835083149147), 'delta0': np.float64(1069.7466401776376), 'Omega0': np.float64(186.9089668216356), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
1.5,0.992527894369051,"{'Delta0': np.float64(-839.0629439782941), 'delta0': np.float64(1257.6708237503426), 'Omega0': np.float64(628.3157295468991), 'tau': np.float64(1.5), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
2.0,0.9923235132751096,"{'Delta0': np.float64(-1001.940378076917), 'delta0': np.float64(1017.6115300954971), 'Omega0': np.float64(628.0171721584356), 'tau': np.float64(2.0), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
2.5,0.9986233383449328,"{'Delta0': np.float64(-424.69405925372376), 'delta0': np.float64(1297.236289019298), 'Omega0': np.float64(250.7484700958625), 'tau': np.float64(2.5), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
3.0,0.999982163318308,"{'Delta0': np.float64(-242.0995214151289), 'delta0': np.float64(1443.8237374958305), 'Omega0': np.float64(628.3135477487979), 'tau': np.float64(3.0), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
3.5,0.9999990413401844,"{'Delta0': np.float64(-642.6532377671766), 'delta0': np.float64(1310.589994008977), 'Omega0': np.float64(557.0458856714317), 'tau': np.float64(3.5), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
4.0,0.999999999619084,"{'Delta0': np.float64(-662.9161921090192), 'delta0': np.float64(1267.5885204565323), 'Omega0': np.float64(628.290090517522), 'tau': np.float64(4.0), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
4.5,0.9999978020827074,"{'Delta0': np.float64(-707.0307010219497), 'delta0': np.float64(1197.7133983782924), 'Omega0': np.float64(628.3180377347892), 'tau': np.float64(4.5), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
5.0,0.999999980651726,"{'Delta0': np.float64(-621.0107001384239), 'delta0': np.float64(1024.5173109449552), 'Omega0': np.float64(166.79641442524309), 'tau': np.float64(5.0), 'V': 157.07963267948966, 'gamma': 0.0, 'Omega_MW': 3141.592653589793}"
